% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 24 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {mushroom}
@attribute name {weka.ThresholdSelector,weka.Winnow,weka.LBR,weka.DecisionTable,weka.NNge,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.ADTree,weka.Decorate,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.BayesNet,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.VotedPerceptron,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.ClassificationViaRegression,weka.LogitBoost,weka.Bagging,weka.LMT,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.LWL,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.RandomCommittee,weka.AODE,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
mushroom,weka.NaiveBayesUpdateable,0.13,65408,15,0,0.957902
mushroom,weka.Ridor,1.1,3.78298e+07,20,0,1
mushroom,weka.Vote,0.7,46256,13,0,0.517971
mushroom,weka.HyperPipes,0.5,38088,15,0,0.997661
mushroom,weka.NBTree,6.56,8.86836e+07,55,1.43076e+08,1
mushroom,weka.CVParameterSelection,0.11,50704,18,0,0.517971
mushroom,weka.ClassificationViaRegression,7.12,9.57557e+07,79,3.05452e+08,0.999754
mushroom,weka.LogitBoost,1.45,1.25599e+07,21,1.31588e+08,0.983013
mushroom,weka.Bagging,2.6,7.9255e+07,28,0,1
mushroom,weka.LMT,380.38,3.19109e+08,3582,4.1534e+08,0.999877
mushroom,weka.IBk,0.6,270656,248,1.31248e+08,1
mushroom,weka.NaiveBayesSimple,0.4,117408,17,1.41112e+08,0.957902
mushroom,weka.IB1,0.6,262240,146,1.40552e+08,1
mushroom,weka.OneR,0.16,64696,19,0,0.985229
mushroom,weka.VFI,0.26,81944,17,0,0.9984
mushroom,weka.RacedIncrementalLogitBoost,1.24,1.12633e+07,24,0,0.99126
mushroom,weka.LWL,0.7,274216,613,4.93e+07,0.968365
mushroom,weka.RandomForest,2.28,9.11914e+07,29,1.59776e+08,1
mushroom,weka.RandomTree,0.87,1.74173e+07,18,1.46788e+08,0.999754
mushroom,weka.REPTree,1.21,1.18954e+07,18,1.31588e+08,1
mushroom,weka.JRip,2.18,3.9784e+07,32,1.6172e+08,1
mushroom,weka.AdaBoostM1,0.86,1.04679e+07,21,1.449e+08,0.962211
mushroom,weka.RandomCommittee,2.93,9.05077e+07,39,0,1
mushroom,weka.AODE,0.6,387016,16,0,0.999508
mushroom,weka.OrdinalClassClassifier,0.39,526288,19,0,1
mushroom,weka.ThresholdSelector,11.57,8.46821e+07,75,1.57664e+08,0.998277
mushroom,weka.ThresholdSelector,11.64,8.49649e+07,80,1.46272e+08,0.998277
mushroom,weka.ThresholdSelector,13.5,8.52892e+07,100,2.094e+08,0.997661
mushroom,weka.ThresholdSelector,11.2,8.50056e+07,84,1.57456e+08,0.998769
mushroom,weka.ThresholdSelector,12.6,4.28024e+07,83,1.81184e+08,0.999877
mushroom,weka.ThresholdSelector,12.3,7.87723e+07,78,1.55648e+08,0.998523
mushroom,weka.ThresholdSelector,12.8,7.69876e+07,89,1.70556e+08,0.997661
mushroom,weka.ThresholdSelector,11.89,8.46983e+07,93,1.86392e+08,0.99323
mushroom,weka.ThresholdSelector,10.27,4.77634e+07,65.97,1.55236e+08,0.9984
mushroom,weka.ThresholdSelector,12.51,7.96309e+07,91,1.93508e+08,0.997661
mushroom,weka.ThresholdSelector,11.3,7.42113e+07,85,1.50892e+08,0.997415
mushroom,weka.ThresholdSelector,11.58,8.45609e+07,87,1.69756e+08,0.998769
mushroom,weka.ThresholdSelector,11.96,8.4638e+07,97,1.81324e+08,0.998031
mushroom,weka.ThresholdSelector,12.35,8.5399e+07,93,1.5898e+08,0.995323
mushroom,weka.ThresholdSelector,11.6,8.47316e+07,91,1.70516e+08,0.998523
mushroom,weka.ThresholdSelector,12.63,8.48598e+07,90,1.72504e+08,0.996677
mushroom,weka.ThresholdSelector,12.31,8.45895e+07,95,1.90068e+08,0.992861
mushroom,weka.ThresholdSelector,13.31,4.0617e+07,109,1.7938e+08,0.999261
mushroom,weka.ThresholdSelector,13.24,8.4997e+07,107,1.84868e+08,0.997292
mushroom,weka.ThresholdSelector,13.47,8.50432e+07,105,1.86576e+08,0.998646
mushroom,weka.Winnow,0.51,1.0935e+07,26,2.0148e+07,0.999877
mushroom,weka.Winnow,0.57,1.10151e+07,22,2.0364e+07,0.999754
mushroom,weka.Winnow,0.53,1.0952e+07,19,0,1
mushroom,weka.Winnow,0.55,1.10234e+07,24,1.834e+08,1
mushroom,weka.Winnow,0.51,1.0922e+07,30,0,1
mushroom,weka.Winnow,0.51,1.09386e+07,22,1.76228e+08,0.999754
mushroom,weka.Winnow,0.56,1.10099e+07,24,0,1
mushroom,weka.Winnow,0.43,1.09151e+07,25,2.23608e+08,0.999631
mushroom,weka.Winnow,0.57,1.10539e+07,26,2.06604e+08,0.998646
mushroom,weka.Winnow,0.58,1.09557e+07,30,0,0.999877
mushroom,weka.Winnow,0.6,1.10241e+07,22,0,0.999631
mushroom,weka.Winnow,0.6,1.10339e+07,22,1.91392e+08,1
mushroom,weka.Winnow,0.57,1.09916e+07,24,0,1
mushroom,weka.Winnow,0.45,1.09429e+07,28,1.784e+08,0.999631
mushroom,weka.Winnow,0.59,1.10119e+07,25,0,0.999631
mushroom,weka.Winnow,0.48,1.09412e+07,19,0,0.999877
mushroom,weka.Winnow,0.47,1.09163e+07,18,0,0.999754
mushroom,weka.Winnow,0.65,1.10094e+07,30,1.80908e+08,1
mushroom,weka.Winnow,0.53,1.09657e+07,23,1.6996e+08,1
mushroom,weka.Winnow,0.45,1.09536e+07,28,1.82272e+08,1
mushroom,weka.SMO,10.21,3.16306e+07,95,1.6248e+08,1
mushroom,weka.SMO,6.43,3.14329e+07,67,1.7348e+08,1
mushroom,weka.SMO,6.59,3.16869e+07,65,1.94896e+08,1
mushroom,weka.SMO,4.85,3.1282e+07,59,2.00628e+08,1
mushroom,weka.SMO,5.48,3.19276e+07,64,2.03848e+08,1
mushroom,weka.SMO,6.57,3.36181e+07,65,1.7408e+08,1
mushroom,weka.SMO,5.76,3.15328e+07,65,2.47736e+08,1
mushroom,weka.SMO,5.34,3.12906e+07,60,1.89676e+08,1
mushroom,weka.SMO,6.8,3.14236e+07,74,1.7078e+08,1
mushroom,weka.SMO,7.19,3.18173e+07,90,1.85356e+08,1
mushroom,weka.SMO,7.45,3.17667e+07,86,2.01332e+08,1
mushroom,weka.SMO,5.59,3.14017e+07,59,1.8752e+08,1
mushroom,weka.SMO,5.69,3.14427e+07,64,1.87884e+08,1
mushroom,weka.SMO,9.67,3.14252e+07,103,1.80836e+08,1
mushroom,weka.SMO,7.46,3.13128e+07,73,1.96668e+08,1
mushroom,weka.SMO,6.8,3.14464e+07,67,1.5538e+08,1
mushroom,weka.SMO,5.51,3.12788e+07,67,1.70152e+08,1
mushroom,weka.SMO,4.75,3.23817e+07,68,2.00148e+08,1
mushroom,weka.SMO,5.95,3.14244e+07,69,1.70144e+08,1
mushroom,weka.SMO,6.34,3.12982e+07,63,1.58524e+08,1
mushroom,weka.SMO,6.49,3.14774e+07,71,1.9692e+08,0.994707
mushroom,weka.SMO,11.1,3.22438e+07,108,1.92524e+08,0.999015
mushroom,weka.SMO,12.68,3.54392e+07,102,1.71368e+08,0.999385
mushroom,weka.SMO,6.12,3.14193e+07,74,1.87644e+08,1
mushroom,weka.SMO,6.34,3.16798e+07,70,1.85588e+08,1
mushroom,weka.SMO,6.21,3.14131e+07,70,1.9686e+08,1
mushroom,weka.SMO,5.46,3.13999e+07,58,1.57056e+08,1
mushroom,weka.SMO,5.84,3.14165e+07,63,1.57032e+08,1
mushroom,weka.SMO,5.96,3.22814e+07,83,1.89832e+08,1
mushroom,weka.SMO,5.15,3.17622e+07,58,1.82108e+08,1
mushroom,weka.SMO,5.38,3.14195e+07,60,1.72184e+08,1
mushroom,weka.SMO,9.64,3.18019e+07,105,1.87312e+08,1
mushroom,weka.SMO,7.5,3.54894e+07,82,1.71164e+08,1
mushroom,weka.SMO,5.96,3.54002e+07,67,2.07372e+08,1
mushroom,weka.SMO,5.33,3.16494e+07,63,1.76164e+08,1
mushroom,weka.SMO,8.38,3.1291e+07,91,1.63192e+08,1
mushroom,weka.SMO,5.84,3.12968e+07,65,1.86392e+08,1
mushroom,weka.SMO,6.4,3.26452e+07,67,1.7562e+08,1
mushroom,weka.SMO,7.55,3.4684e+07,91,1.8458e+08,1
mushroom,weka.SMO,7.96,3.17259e+07,97,2.4884e+08,0.994707
mushroom,weka.SMO,4.72,3.46778e+07,56,1.66372e+08,0.994707
mushroom,weka.SMO,4.91,3.46941e+07,52,1.80308e+08,0.994707
mushroom,weka.SMO,4.32,3.49238e+07,50,1.64888e+08,0.994707
mushroom,weka.SMO,6.18,3.17367e+07,57,1.74664e+08,0.994707
mushroom,weka.SMO,5.95,3.54593e+07,61,1.92168e+08,0.994707
mushroom,weka.SMO,5.57,3.46951e+07,60,1.62716e+08,0.994707
mushroom,weka.SMO,5.21,3.14134e+07,62,1.48532e+08,0.994707
mushroom,weka.SMO,5.3,3.26453e+07,60,1.94216e+08,0.994707
mushroom,weka.SMO,5.96,3.14034e+07,59,1.86632e+08,0.994707
mushroom,weka.SMO,5.34,3.16258e+07,56,1.57452e+08,0.994707
mushroom,weka.SMO,5.76,3.18341e+07,61,2.21476e+08,0.994707
mushroom,weka.SMO,6.25,3.13892e+07,56,1.53484e+08,0.994707
