
@relation query

@attribute dataset_name {letter,mushroom,nursery,optdigits,page-blocks,pendigits,waveform-5000,adult,covertype,satimage,kropt}
@attribute alg_name {weka.AdaBoostM1,weka.ADTree,weka.AODE,weka.AttributeSelectedClassifier,weka.Bagging,weka.BayesNet,weka.ClassificationViaRegression,weka.ConjunctiveRule,weka.CVParameterSelection,weka.DecisionStump,weka.DecisionTable,weka.Decorate,weka.FilteredClassifier,weka.HyperPipes,weka.IB1,weka.IBk,weka.Id3,weka.J48,weka.JRip,weka.LBR,weka.LMT,weka.Logistic,weka.LogitBoost,weka.LWL,weka.MultiBoostAB,weka.MultiClassClassifier,weka.MultilayerPerceptron,weka.MultiScheme,weka.NaiveBayes,weka.NaiveBayesSimple,weka.NaiveBayesUpdateable,weka.NBTree,weka.NNge,weka.OneR,weka.OrdinalClassClassifier,weka.PART,weka.Prism,weka.RacedIncrementalLogitBoost,weka.RandomCommittee,weka.RandomForest,weka.RandomTree,weka.RBFNetwork,weka.REPTree,weka.Ridor,weka.SimpleLogistic,weka.SMO,weka.Stacking,weka.StackingC,weka.ThresholdSelector,weka.VFI,weka.Vote,weka.VotedPerceptron,weka.Winnow,weka.ZeroR}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
letter,weka.JRip,334.55,4.12072e+08,3848,9.0798e+08,0.8647
letter,weka.AdaBoostM1,1.31,585824,118,2.2296e+08,0.0709
letter,weka.RandomCommittee,12.26,2.7879e+08,20144,9.61428e+08,0.9186
letter,weka.OrdinalClassClassifier,250.8,2.91893e+08,3046,4.31932e+08,0.76945
letter,weka.SMO,29.95,1.11373e+08,431,4.45524e+08,0.8234
letter,weka.SMO,29.14,1.11171e+08,420,4.41388e+08,0.8235
letter,weka.SMO,22.61,1.11256e+08,419,4.56736e+08,0.82355
letter,weka.SMO,26.93,1.11095e+08,427,5.0784e+08,0.82355
letter,weka.SMO,21.97,1.11126e+08,423,4.54408e+08,0.8235
letter,weka.SMO,21.97,1.11086e+08,386,4.5266e+08,0.82335
letter,weka.SMO,24.18,1.11072e+08,379,4.8878e+08,0.8235
letter,weka.SMO,24.2,1.11163e+08,389,5.1868e+08,0.8235
letter,weka.SMO,26.25,1.11166e+08,409,4.89484e+08,0.8235
letter,weka.SMO,21.65,1.11332e+08,386,4.4916e+08,0.8235
letter,weka.SMO,21.85,1.58659e+08,339,4.33876e+08,0.8237
letter,weka.SMO,21.53,1.11158e+08,385,4.77048e+08,0.82325
letter,weka.SMO,23.8,1.11076e+08,377,4.72844e+08,0.82335
letter,weka.SMO,25.71,1.11109e+08,421,4.98324e+08,0.82335
letter,weka.SMO,23.29,1.11167e+08,379,4.85252e+08,0.8235
letter,weka.SMO,28,1.1126e+08,428,4.5804e+08,0.8234
letter,weka.SMO,33.94,1.11129e+08,494,4.6124e+08,0.82355
letter,weka.SMO,27.23,1.58688e+08,448,4.44268e+08,0.82355
letter,weka.SMO,21.76,1.11087e+08,370,4.53148e+08,0.82335
letter,weka.SMO,23.86,1.11114e+08,383,4.66568e+08,0.82345
letter,weka.SMO,11.18,1.11267e+08,265,4.94148e+08,0.38745
letter,weka.SMO,12.17,1.11187e+08,271,4.99616e+08,0.6709
letter,weka.SMO,13.98,1.11138e+08,300,4.69584e+08,0.72905
letter,weka.SMO,18.4,1.11123e+08,371,4.80244e+08,0.8059
letter,weka.SMO,23.45,1.112e+08,376,4.55324e+08,0.8234
letter,weka.SMO,33.42,1.11126e+08,503,4.61488e+08,0.83595
letter,weka.SMO,34.82,1.1112e+08,538,4.91852e+08,0.8393
letter,weka.SMO,35.1,1.11145e+08,507,5.01708e+08,0.84295
letter,weka.SMO,35.72,1.11302e+08,498,4.65988e+08,0.84525
letter,weka.SMO,44.18,1.11066e+08,579,4.58644e+08,0.84975
letter,weka.SMO,52.65,2.99876e+08,647,4.70224e+08,0.85265
letter,weka.SMO,76.2,1.1113e+08,848,4.42928e+08,0.8523
letter,weka.SMO,76.61,2.99872e+08,881,4.84244e+08,0.85445
letter,weka.SMO,95.54,2.38683e+08,1047,4.2762e+08,0.8541
letter,weka.SMO,102.52,1.8273e+08,1093,4.52672e+08,0.85375
letter,weka.SMO,102.29,1.11204e+08,1119,4.35624e+08,0.85435
letter,weka.SMO,111.73,1.74742e+08,1160,4.39436e+08,0.8544
letter,weka.SMO,94.88,1.11188e+08,1013,4.5742e+08,0.85405
letter,weka.SMO,167.34,1.82543e+08,1711,4.56852e+08,0.85465
letter,weka.SMO,13.6,1.58704e+08,293,5.1016e+08,0.38475
letter,weka.SMO,10.36,1.11201e+08,276,4.77592e+08,0.38795
letter,weka.SMO,11.16,1.11159e+08,255,4.87592e+08,0.38675
letter,weka.SMO,10.95,1.11243e+08,260,4.70372e+08,0.3871
letter,weka.SMO,11.7,1.11176e+08,264,5.26808e+08,0.38555
letter,weka.SMO,10.88,1.11198e+08,252,4.65564e+08,0.3868
letter,weka.SMO,11.4,1.11151e+08,277,4.64252e+08,0.38705
letter,weka.SMO,13.7,1.11123e+08,274,4.74076e+08,0.3878
letter,weka.SMO,13.13,1.5879e+08,297,4.57444e+08,0.3862
letter,weka.SMO,14.44,1.58671e+08,319,4.55168e+08,0.3865
letter,weka.SMO,12.69,1.11147e+08,321,4.9482e+08,0.3861
letter,weka.SMO,12.23,1.58753e+08,288,4.68368e+08,0.3872
letter,weka.SMO,10.78,1.11211e+08,257,4.80292e+08,0.3855
letter,weka.SMO,11.2,1.1118e+08,258,4.75856e+08,0.3871
letter,weka.SMO,10.17,1.11225e+08,246,5.10792e+08,0.38675
letter,weka.SMO,14.5,1.5876e+08,306,4.40292e+08,0.3867
letter,weka.SMO,11.63,1.11172e+08,286,5.21304e+08,0.3859
letter,weka.SMO,12.32,1.11614e+08,249,4.64112e+08,0.38745
letter,weka.SMO,10.87,1.11233e+08,256,4.55284e+08,0.3857
letter,weka.SMO,10.52,1.58842e+08,290,4.6318e+08,0.38515
letter,weka.SMO,14.33,1.11259e+08,307,5.04976e+08,0.6711
letter,weka.SMO,17.79,1.11151e+08,402,4.89552e+08,0.6711
letter,weka.SMO,12.25,1.11169e+08,305,4.67552e+08,0.67085
letter,weka.SMO,12.51,1.11334e+08,268,4.17016e+08,0.6709
letter,weka.SMO,15.25,1.58708e+08,321,4.52464e+08,0.6708
letter,weka.SMO,12.13,1.58807e+08,277,4.41244e+08,0.67085
letter,weka.SMO,13.35,1.11157e+08,284,4.63996e+08,0.67105
letter,weka.SMO,11.93,1.11249e+08,315,5.02752e+08,0.67095
letter,weka.SMO,11.93,1.1113e+08,284,4.55456e+08,0.671
letter,weka.SMO,13.71,1.11137e+08,301,5.04196e+08,0.67115
letter,weka.SMO,13.74,1.11126e+08,308,4.70172e+08,0.671
letter,weka.SMO,14.1,1.11143e+08,294,5.33956e+08,0.6709
letter,weka.SMO,11.58,1.58814e+08,253,4.77256e+08,0.671
letter,weka.SMO,11.29,1.11295e+08,260,5.14992e+08,0.671
letter,weka.SMO,11.83,1.58752e+08,266,5.0252e+08,0.6711
letter,weka.SMO,14.25,1.11317e+08,299,4.8012e+08,0.67105
letter,weka.SMO,11.18,1.11177e+08,288,4.6714e+08,0.67105
letter,weka.SMO,12.31,1.11275e+08,250,4.88032e+08,0.671
letter,weka.SMO,12.72,1.11174e+08,272,4.56392e+08,0.6709
letter,weka.SMO,11.85,1.1117e+08,273,4.63092e+08,0.6709
letter,weka.SMO,13.23,1.11152e+08,303,4.58864e+08,0.7289
letter,weka.SMO,14.17,1.11175e+08,276,4.75e+08,0.72895
letter,weka.SMO,13.78,1.11153e+08,285,4.57636e+08,0.7288
letter,weka.SMO,13.54,1.11157e+08,274,4.76444e+08,0.72915
letter,weka.SMO,13.87,1.11185e+08,283,4.51076e+08,0.72905
letter,weka.SMO,13.42,1.11277e+08,281,5.16208e+08,0.7288
letter,weka.SMO,15.68,1.11199e+08,303,4.5904e+08,0.7291
letter,weka.SMO,13.32,1.11166e+08,306,5.12508e+08,0.7289
letter,weka.SMO,17.9,1.11163e+08,400,4.77716e+08,0.72915
letter,weka.SMO,12.89,1.58705e+08,267,4.66864e+08,0.729
letter,weka.SMO,16.33,1.11162e+08,320,4.77328e+08,0.72895
letter,weka.SMO,15.44,1.11421e+08,310,4.97824e+08,0.72885
letter,weka.SMO,15.77,1.58745e+08,299,4.53896e+08,0.72905
letter,weka.SMO,16.2,1.11274e+08,334,5.18912e+08,0.72915
letter,weka.SMO,14.1,1.11139e+08,270,4.9396e+08,0.72905
letter,weka.SMO,14.14,1.11166e+08,292,4.85752e+08,0.7291
letter,weka.SMO,19.39,1.11217e+08,411,5.22904e+08,0.72895
letter,weka.SMO,13,1.11176e+08,272,4.664e+08,0.72905
letter,weka.SMO,13.81,1.11158e+08,335,4.84476e+08,0.72905
letter,weka.SMO,13.57,1.1116e+08,286,4.73064e+08,0.72885
letter,weka.SMO,23.84,1.11182e+08,392,4.95236e+08,0.8062
letter,weka.SMO,18.89,1.11095e+08,340,4.81132e+08,0.8062
letter,weka.SMO,23.37,1.11145e+08,384,4.59484e+08,0.8061
letter,weka.SMO,24.87,1.58677e+08,405,4.69736e+08,0.8062
letter,weka.SMO,25.1,1.58677e+08,385,4.96692e+08,0.80585
letter,weka.SMO,23.45,1.11268e+08,385,5.10076e+08,0.80625
letter,weka.SMO,20.8,1.11152e+08,357,4.57016e+08,0.80605
letter,weka.SMO,19.4,1.11102e+08,365,4.56524e+08,0.8062
letter,weka.SMO,18.77,1.11094e+08,329,4.79768e+08,0.806
letter,weka.SMO,20.82,1.11111e+08,354,4.41084e+08,0.80605
letter,weka.SMO,19.54,1.11295e+08,331,4.65824e+08,0.806
letter,weka.SMO,19.54,1.11162e+08,339,4.73368e+08,0.8061
letter,weka.SMO,21.24,1.11184e+08,370,4.59764e+08,0.80595
letter,weka.SMO,22.78,1.11182e+08,380,4.97036e+08,0.80615
letter,weka.SMO,18.19,1.11159e+08,328,4.7388e+08,0.80605
letter,weka.SMO,20.41,1.11111e+08,350,4.49804e+08,0.8059
letter,weka.SMO,18.6,1.11182e+08,329,5.06684e+08,0.80645
letter,weka.SMO,18.66,1.11114e+08,355,4.767e+08,0.80605
letter,weka.SMO,24.14,1.5868e+08,401,4.65504e+08,0.80605
letter,weka.SMO,18.5,1.11093e+08,319,4.4596e+08,0.806
letter,weka.SMO,24.69,1.11093e+08,444,4.67528e+08,0.8234
letter,weka.SMO,22.94,1.11122e+08,374,4.52332e+08,0.8235
letter,weka.SMO,21.32,1.1108e+08,381,5.09108e+08,0.82355
letter,weka.SMO,23.8,1.1119e+08,375,4.91404e+08,0.82355
letter,weka.SMO,24.9,1.11127e+08,395,4.62844e+08,0.8235
letter,weka.SMO,29.1,1.11169e+08,454,4.85756e+08,0.82335
letter,weka.SMO,22.5,1.11105e+08,418,4.7882e+08,0.8235
letter,weka.SMO,24.22,1.11158e+08,397,4.49196e+08,0.8235
letter,weka.SMO,22.5,1.11154e+08,385,4.7618e+08,0.8235
letter,weka.SMO,29.68,1.1122e+08,440,4.6578e+08,0.8235
letter,weka.SMO,23.59,1.11124e+08,372,4.60152e+08,0.8237
letter,weka.SMO,25.9,1.11116e+08,400,4.9282e+08,0.82325
letter,weka.SMO,26.65,1.11098e+08,402,4.5694e+08,0.82335
letter,weka.SMO,25.64,1.1114e+08,423,4.55096e+08,0.82335
letter,weka.SMO,22.64,1.11124e+08,379,4.7302e+08,0.8235
letter,weka.SMO,27.16,1.11291e+08,426,4.56272e+08,0.8234
letter,weka.SMO,22.75,1.11114e+08,410,4.68252e+08,0.82355
letter,weka.SMO,23.21,1.11136e+08,374,4.59452e+08,0.82355
letter,weka.SMO,24.42,1.58645e+08,396,4.52572e+08,0.82335
letter,weka.SMO,27.59,1.11099e+08,398,4.17552e+08,0.82345
letter,weka.SMO,26.81,1.11098e+08,413,4.56608e+08,0.83585
letter,weka.SMO,31.1,1.11133e+08,457,4.45292e+08,0.8358
letter,weka.SMO,40.48,1.11159e+08,548,4.99852e+08,0.8358
letter,weka.SMO,27.9,1.11132e+08,439,4.53076e+08,0.83575
letter,weka.SMO,34.63,1.11085e+08,492,4.98348e+08,0.8357
letter,weka.SMO,33.53,1.11177e+08,486,4.76752e+08,0.83575
letter,weka.SMO,28.91,1.11127e+08,431,4.61468e+08,0.8356
letter,weka.SMO,30.27,1.11274e+08,425,5.11232e+08,0.8359
letter,weka.SMO,35.9,1.58658e+08,512,4.33212e+08,0.83575
letter,weka.SMO,28.21,1.11178e+08,430,4.4782e+08,0.8357
letter,weka.SMO,36.41,1.58681e+08,519,4.51008e+08,0.8357
letter,weka.SMO,32.84,2.99702e+08,486,4.962e+08,0.8358
letter,weka.SMO,34.99,1.11204e+08,499,4.30088e+08,0.8356
letter,weka.SMO,29.65,1.58658e+08,471,4.4466e+08,0.83555
letter,weka.SMO,29.3,1.11108e+08,468,4.62808e+08,0.83575
letter,weka.SMO,26.9,1.11249e+08,374,4.77312e+08,0.8357
letter,weka.SMO,30.82,1.11116e+08,465,4.82212e+08,0.8358
letter,weka.SMO,38.55,1.11106e+08,529,4.43916e+08,0.8357
letter,weka.SMO,31.95,1.11351e+08,506,4.97784e+08,0.83575
letter,weka.SMO,34.7,1.11152e+08,486,4.57268e+08,0.8359
letter,weka.SMO,28.5,1.11091e+08,413,4.48236e+08,0.83945
letter,weka.SMO,30.15,1.11179e+08,430,4.58452e+08,0.8393
letter,weka.SMO,28.57,1.11141e+08,465,4.54812e+08,0.8392
letter,weka.SMO,33.23,1.11136e+08,463,4.71136e+08,0.83925
letter,weka.SMO,33.26,1.11136e+08,502,4.72684e+08,0.83945
