alg_name,dataset,id,2,5,4,1,Acc,3
weka.J48,optdigits,121518,0.4,,false,,0.907295,2
weka.J48,optdigits,121530,0.4,,false,,0.907295,2
weka.J48,optdigits,121541,0.4,,false,,0.907295,2
weka.J48,optdigits,121552,0.4,,false,,0.907295,2
weka.J48,optdigits,121563,0.4,,false,,0.907295,2
weka.J48,optdigits,121574,0.4,,false,,0.907295,2
weka.J48,optdigits,121586,0.4,,false,,0.907295,2
weka.J48,optdigits,121627,0.4,,false,,0.907295,2
weka.J48,optdigits,121625,0.4,,false,,0.907295,2
weka.J48,optdigits,121631,0.5,,false,,0.907295,2
weka.J48,optdigits,121629,0.4,,false,,0.907295,2
weka.J48,nursery,1363,0.25,,false,,0.970525,2
weka.J48,optdigits,121623,0.4,,false,,0.907295,2
weka.J48,optdigits,121621,0.4,,false,,0.907295,2
weka.J48,optdigits,121612,0.4,,false,,0.907295,2
weka.J48,optdigits,121600,0.4,,false,,0.907295,2
weka.J48,optdigits,121656,0.5,,false,,0.907295,2
weka.J48,optdigits,121658,0.5,,false,,0.907295,2
weka.J48,optdigits,121660,0.5,,false,,0.907295,2
weka.J48,optdigits,121663,0.5,,false,,0.907295,2
weka.J48,optdigits,121648,0.5,,false,,0.907295,2
weka.J48,optdigits,121650,0.5,,false,,0.907295,2
weka.J48,optdigits,121652,0.5,,false,,0.907295,2
weka.J48,optdigits,121654,0.5,,false,,0.907295,2
weka.J48,optdigits,121642,0.5,,false,,0.907295,2
weka.J48,optdigits,121644,0.5,,false,,0.907295,2
weka.J48,optdigits,121646,0.5,,false,,0.907295,2
weka.J48,optdigits,121633,0.5,,false,,0.907295,2
weka.J48,optdigits,121635,0.5,,false,,0.907295,2
weka.J48,optdigits,121637,0.5,,false,,0.907295,2
weka.J48,optdigits,121639,0.5,,false,,0.907295,2
weka.J48,optdigits,121694,0.6,,false,,0.906584,2
weka.J48,optdigits,121692,0.6,,false,,0.906584,2
weka.J48,optdigits,121690,0.6,,false,,0.906584,2
weka.J48,optdigits,121688,0.6,,false,,0.906584,2
weka.J48,optdigits,121686,0.6,,false,,0.906584,2
weka.J48,optdigits,121684,0.6,,false,,0.906584,2
weka.J48,optdigits,121682,0.6,,false,,0.906584,2
weka.J48,optdigits,121680,0.6,,false,,0.906584,2
weka.J48,optdigits,121678,0.6,,false,,0.906584,2
weka.J48,optdigits,121674,0.6,,false,,0.906584,2
weka.J48,optdigits,121675,0.6,,false,,0.906584,2
weka.J48,optdigits,121671,0.5,,false,,0.907295,2
weka.J48,optdigits,121669,0.5,,false,,0.907295,2
weka.J48,optdigits,121667,0.5,,false,,0.907295,2
weka.J48,optdigits,121665,0.5,,false,,0.907295,2
weka.J48,optdigits,121725,0.7,,false,,0.906584,2
weka.J48,optdigits,121727,0.7,,false,,0.906584,2
weka.J48,optdigits,121720,0.7,,false,,0.906584,2
weka.J48,optdigits,121723,0.7,,false,,0.906584,2
weka.J48,optdigits,121722,0.7,,false,,0.906584,2
weka.J48,optdigits,121716,0.7,,false,,0.906584,2
weka.J48,optdigits,121718,0.7,,false,,0.906584,2
weka.J48,optdigits,121713,0.7,,false,,0.906584,2
weka.J48,optdigits,121714,0.7,,false,,0.906584,2
weka.J48,optdigits,121709,0.6,,false,,0.906584,2
weka.J48,optdigits,121711,0.6,,false,,0.906584,2
weka.J48,optdigits,121704,0.6,,false,,0.906584,2
weka.J48,optdigits,121706,0.6,,false,,0.906584,2
weka.J48,optdigits,121707,0.6,,false,,0.906584,2
weka.J48,optdigits,121700,0.6,,false,,0.906584,2
weka.J48,optdigits,121702,0.6,,false,,0.906584,2
weka.J48,optdigits,121696,0.6,,false,,0.906584,2
weka.J48,optdigits,121698,0.6,,false,,0.906584,2
weka.J48,optdigits,121746,0.7,,false,,0.906584,2
weka.J48,optdigits,121745,0.7,,false,,0.906584,2
weka.J48,optdigits,121750,0.8,,false,,0.906584,2
weka.J48,optdigits,121748,0.8,,false,,0.906584,2
weka.J48,optdigits,121755,0.8,,false,,0.906584,2
weka.J48,optdigits,121753,0.8,,false,,0.906584,2
weka.J48,optdigits,121759,0.8,,false,,0.906584,2
weka.J48,optdigits,121731,0.7,,false,,0.906584,2
weka.J48,optdigits,121729,0.7,,false,,0.906584,2
weka.J48,optdigits,121734,0.7,,false,,0.906584,2
weka.J48,optdigits,121733,0.7,,false,,0.906584,2
weka.J48,optdigits,121738,0.7,,false,,0.906584,2
weka.J48,optdigits,121736,0.7,,false,,0.906584,2
weka.J48,optdigits,121743,0.7,,false,,0.906584,2
weka.J48,optdigits,121741,0.7,,false,,0.906584,2
weka.J48,optdigits,121740,0.7,,false,,0.906584,2
weka.J48,optdigits,121778,0.8,,false,,0.906584,2
weka.J48,optdigits,121788,0.8,,false,,0.906584,2
weka.J48,optdigits,121768,0.8,,false,,0.906584,2
weka.J48,optdigits,121822,0.8,,false,,0.906584,2
weka.J48,optdigits,121818,0.8,,false,,0.906584,2
weka.J48,optdigits,121816,0.8,,false,,0.906584,2
weka.J48,optdigits,121798,0.8,,false,,0.906584,2
weka.J48,optdigits,121845,0.8,,false,,0.906584,2
weka.J48,optdigits,121847,0.8,,false,,0.906584,2
weka.J48,optdigits,121842,0.8,,false,,0.906584,2
weka.J48,optdigits,121852,0.8,,false,,0.906584,2
weka.J48,optdigits,121854,0.9,,false,,0.906584,2
weka.J48,optdigits,121849,0.8,,false,,0.906584,2
weka.J48,optdigits,121850,0.8,,false,,0.906584,2
weka.J48,optdigits,1471,0.25,,false,,0.90694,2
weka.J48,optdigits,121829,0.8,,false,,0.906584,2
weka.J48,optdigits,121837,0.8,,false,,0.906584,2
weka.J48,page-blocks,1579,0.25,,false,,0.968756,2
weka.J48,optdigits,120997,0.25,,false,,0.90694,2
weka.J48,optdigits,120995,0.25,,false,,0.90694,2
weka.J48,optdigits,120993,0.25,,false,,0.90694,2
weka.J48,optdigits,121005,0.25,,false,,0.90694,2
weka.J48,optdigits,121003,0.25,,false,,0.90694,2
weka.J48,optdigits,121002,0.25,,false,,0.90694,2
weka.J48,optdigits,121000,0.25,,false,,0.90694,2
weka.J48,optdigits,121014,0.25,,false,,0.90694,2
weka.J48,optdigits,121010,0.25,,false,,0.90694,2
weka.J48,optdigits,121011,0.25,,false,,0.90694,2
weka.J48,optdigits,121008,0.25,,false,,0.90694,2
weka.J48,optdigits,121022,0.25,,false,,0.90694,2
weka.J48,optdigits,121020,0.25,,false,,0.90694,2
weka.J48,optdigits,121018,0.25,,false,,0.90694,2
weka.J48,optdigits,121016,0.25,,false,,0.90694,2
weka.J48,optdigits,120988,0.25,,false,,0.90694,2
weka.J48,optdigits,120991,0.25,,false,,0.90694,2
weka.J48,optdigits,120986,0.25,,false,,0.90694,2
weka.J48,optdigits,121059,0.01,,false,,0.907117,2
weka.J48,optdigits,121057,0.01,,false,,0.907117,2
weka.J48,optdigits,121063,0.01,,false,,0.907117,2
weka.J48,optdigits,121061,0.01,,false,,0.907117,2
weka.J48,optdigits,121066,0.01,,false,,0.907117,2
weka.J48,optdigits,121064,0.01,,false,,0.907117,2
weka.J48,optdigits,121071,0.01,,false,,0.907117,2
weka.J48,optdigits,121069,0.01,,false,,0.907117,2
weka.J48,optdigits,121074,0.01,,false,,0.907117,2
weka.J48,optdigits,121086,0.01,,false,,0.907117,2
weka.J48,optdigits,121024,0.25,,false,,0.90694,2
weka.J48,optdigits,121027,0.25,,false,,0.90694,2
weka.J48,optdigits,121029,0.01,,false,,0.907117,2
weka.J48,optdigits,121031,0.05,,false,,0.907473,2
weka.J48,optdigits,121033,0.1,,false,,0.907473,2
weka.J48,optdigits,121035,0.15,,false,,0.90694,2
weka.J48,optdigits,121037,0.2,,false,,0.906406,2
weka.J48,optdigits,121039,0.3,,false,,0.907295,2
weka.J48,optdigits,121041,0.35,,false,,0.907295,2
weka.J48,optdigits,121043,0.4,,false,,0.907295,2
weka.J48,pendigits,1687,0.25,,false,,0.965611,2
weka.J48,optdigits,121045,0.5,,false,,0.907295,2
weka.J48,optdigits,121047,0.6,,false,,0.906584,2
weka.J48,optdigits,121049,0.7,,false,,0.906584,2
weka.J48,optdigits,121051,0.8,,false,,0.906584,2
weka.J48,optdigits,121053,0.9,,false,,0.906584,2
weka.J48,optdigits,121055,0.01,,false,,0.907117,2
weka.J48,optdigits,121146,0.01,,false,,0.907117,2
weka.J48,optdigits,121132,0.01,,false,,0.907117,2
weka.J48,optdigits,121121,0.01,,false,,0.907117,2
weka.J48,optdigits,121107,0.01,,false,,0.907117,2
weka.J48,optdigits,121097,0.01,,false,,0.907117,2
weka.J48,optdigits,121209,0.05,,false,,0.907473,2
weka.J48,optdigits,121213,0.1,,false,,0.907473,2
