% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, ev.evalue as accuracy
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid  and
% e.eid = ev.eid and ev.emiid = 6 and la.liid = li.liid and
% li.name = "weka.J48"

alg_name,dataset,id,accuracy
weka.J48,letter,73579,0.8741
weka.J48,mushroom,117815,1
weka.J48,optdigits,121132,0.907117
weka.J48,nursery,123957,0.941281
weka.J48,page-blocks,129447,0.968938
weka.J48,pendigits,134341,0.963883
weka.J48,waveform-5000,192849,0.7654
weka.J48,kropt,247310,0.43627
weka.J48,letter,73580,0.8741
weka.J48,mushroom,117817,1
weka.J48,optdigits,121146,0.907117
weka.J48,nursery,123958,0.941281
weka.J48,page-blocks,129449,0.968938
weka.J48,pendigits,134342,0.963883
weka.J48,waveform-5000,192850,0.7654
weka.J48,kropt,247311,0.43627
weka.J48,letter,73581,0.8741
weka.J48,mushroom,117818,1
weka.J48,optdigits,121157,0.907117
weka.J48,nursery,123959,0.941281
weka.J48,page-blocks,129450,0.968938
weka.J48,pendigits,134343,0.963883
weka.J48,waveform-5000,192851,0.7654
weka.J48,kropt,247312,0.43627
weka.J48,letter,73582,0.8741
weka.J48,mushroom,117820,1
weka.J48,optdigits,121166,0.907117
weka.J48,nursery,123961,0.941281
weka.J48,page-blocks,129451,0.968938
weka.J48,pendigits,134344,0.963883
weka.J48,waveform-5000,192852,0.7654
weka.J48,kropt,247313,0.43627
weka.J48,letter,73583,0.8741
weka.J48,mushroom,117821,1
weka.J48,optdigits,121171,0.907117
weka.J48,nursery,123963,0.941281
weka.J48,page-blocks,129453,0.968938
weka.J48,pendigits,134345,0.963883
weka.J48,waveform-5000,192853,0.7654
weka.J48,kropt,247314,0.43627
weka.J48,letter,73584,0.8741
weka.J48,mushroom,117822,1
weka.J48,optdigits,121174,0.907117
weka.J48,nursery,123964,0.941281
weka.J48,page-blocks,129454,0.968938
weka.J48,pendigits,134346,0.963883
weka.J48,waveform-5000,192854,0.7654
weka.J48,covertype,238679,0.832036
weka.J48,kropt,247315,0.43627
weka.J48,letter,73585,0.87625
weka.J48,mushroom,117824,1
weka.J48,optdigits,121176,0.907473
weka.J48,nursery,123966,0.959954
weka.J48,page-blocks,129455,0.970217
weka.J48,pendigits,134347,0.964156
weka.J48,waveform-5000,192855,0.759
weka.J48,kropt,247316,0.487846
weka.J48,letter,73586,0.87625
weka.J48,mushroom,117825,1
weka.J48,optdigits,121178,0.907473
weka.J48,nursery,123967,0.959954
weka.J48,page-blocks,129456,0.970217
