% Query:
% SELECT d.name, li.name, ev2.evalue as build_CPU, ev3.evalue as build_mem, ev.evalue as run_CPU, ev4.evalue as run_mem, ev1.evalue as pred_acc
% FROM
% dataset d,
% experiment e,
% learner_application la,
% learner_implementation li,
% evaluation ev,
% evaluation ev1,
% evaluation ev2,
% evaluation ev3,
% evaluation ev4
% WHERE d.did = 183 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and
% e.eid = ev.eid and ev2.eid = e.eid and ev3.eid = e.eid and ev4.eid = e.eid and ev2.emiid = 1 and ev3.emiid = 2 and ev4.emiid = 4 and ev.emiid = 3 and ev1.emiid = 6 and e.eid = ev1.eid

@relation query

@attribute name {adult}
@attribute name {weka.ThresholdSelector,weka.DecisionStump,weka.SMO,weka.MultilayerPerceptron,weka.MultiBoostAB,weka.ConjunctiveRule,weka.Stacking,weka.J48,weka.ADTree,weka.PART,weka.RBFNetwork,weka.ZeroR,weka.SimpleLogistic,weka.Logistic,weka.StackingC,weka.AttributeSelectedClassifier,weka.MultiClassClassifier,weka.NaiveBayes,weka.FilteredClassifier,weka.MultiScheme,weka.NaiveBayesUpdateable,weka.Ridor,weka.Vote,weka.HyperPipes,weka.NBTree,weka.CVParameterSelection,weka.LogitBoost,weka.Bagging,weka.IBk,weka.NaiveBayesSimple,weka.IB1,weka.OneR,weka.VFI,weka.RacedIncrementalLogitBoost,weka.RandomForest,weka.RandomTree,weka.REPTree,weka.JRip,weka.AdaBoostM1,weka.OrdinalClassClassifier}
@attribute build_CPU numeric
@attribute build_mem numeric
@attribute run_CPU numeric
@attribute run_mem numeric
@attribute pred_acc numeric

@data
adult,weka.SMO,7370.99,1.87436e+08,66525.9,5.41733e+08,0.854572
adult,weka.SMO,8010.11,1.87465e+08,72137.7,5.41639e+08,0.854613
adult,weka.SMO,11518.1,1.87691e+08,106199,5.416e+08,0.854572
adult,weka.SMO,6761.96,1.87489e+08,62971.2,5.41384e+08,0.854654
adult,weka.SMO,7784.52,1.87666e+08,69167.2,5.41395e+08,0.854592
adult,weka.SMO,6194.41,1.87341e+08,56235.3,5.41452e+08,0.854633
adult,weka.SMO,6962.53,1.87241e+08,64316.8,5.41404e+08,0.854572
adult,weka.SMO,6195.89,1.87389e+08,56306.8,5.417e+08,0.854592
adult,weka.SMO,23555.1,1.37565e+08,215059,3.4414e+08,0.854572
adult,weka.SMO,8283.94,1.86649e+08,76502.2,5.45034e+08,0.854613
adult,weka.SMO,7363.53,1.87329e+08,64636.8,5.41525e+08,0.854633
adult,weka.SMO,8521.89,1.8742e+08,78223,5.41752e+08,0.854695
adult,weka.SMO,11496.2,1.88636e+08,109734,5.44993e+08,0.854633
adult,weka.SMO,6166.39,1.87273e+08,57862.2,5.41601e+08,0.854633
adult,weka.SMO,8054.3,1.87698e+08,68884.6,5.41552e+08,0.854695
adult,weka.SMO,8494.83,1.87264e+08,73738.5,5.44626e+08,0.854633
adult,weka.SMO,8141.57,1.87284e+08,74603.9,5.41549e+08,0.854592
adult,weka.SMO,8380.51,1.87461e+08,69398.5,5.41486e+08,0.854654
adult,weka.SMO,11879.6,1.87427e+08,101228,5.41768e+08,0.854613
adult,weka.SMO,11631.2,1.87378e+08,107348,5.41597e+08,0.854654
adult,weka.SMO,9288.41,1.87539e+08,75271.9,5.41531e+08,0.854531
adult,weka.SMO,14222.1,1.88555e+08,128692,5.41707e+08,0.854633
adult,weka.SMO,20809.1,1.88415e+08,185677,5.45004e+08,0.854654
adult,weka.SMO,12534.2,1.8744e+08,119196,5.41601e+08,0.854695
adult,weka.SMO,23683.4,1.89175e+08,205283,5.41619e+08,0.854674
adult,weka.SMO,16116.3,1.87501e+08,136474,5.44863e+08,0.854654
adult,weka.SMO,14855.1,1.87704e+08,135901,5.4173e+08,0.854654
adult,weka.SMO,22764,1.8993e+08,198541,5.41547e+08,0.854613
adult,weka.SMO,13017.9,1.87284e+08,124281,5.41532e+08,0.854654
adult,weka.SMO,12081.6,1.87243e+08,111709,5.41533e+08,0.854633
adult,weka.SMO,11393.3,1.87627e+08,103962,5.44697e+08,0.854613
adult,weka.SMO,11216.3,1.89365e+08,105141,5.4137e+08,0.854674
adult,weka.SMO,3840.28,1.8801e+08,35449.3,5.41611e+08,0.854449
adult,weka.SMO,5376.98,1.91784e+08,45736.8,7.55737e+08,0.85449
adult,weka.SMO,2925.46,1.87871e+08,27042.7,5.41449e+08,0.854531
adult,weka.SMO,5319.89,1.93508e+08,45897.9,8.51968e+08,0.85451
adult,weka.SMO,2853.84,1.8747e+08,27048.4,5.415e+08,0.85447
adult,weka.SMO,9859.02,1.29549e+08,90265,3.44035e+08,0.85451
adult,weka.SMO,4968.18,1.91795e+08,45887.2,8.5229e+08,0.85447
adult,weka.SMO,4209.69,1.87465e+08,35838.2,5.4491e+08,0.85449
adult,weka.SMO,5496.06,1.88266e+08,49709.6,5.41454e+08,0.854449
adult,weka.SMO,5237.5,1.88537e+08,49789.7,5.41627e+08,0.85449
adult,weka.MultilayerPerceptron,4212.18,2.88868e+08,42275.6,7.2542e+08,0.841714
adult,weka.MultilayerPerceptron,8082.65,5.60494e+08,79894,9.3223e+08,0.843475
adult,weka.MultilayerPerceptron,8127.35,5.74253e+08,82945.2,9.72265e+08,0.843618
adult,weka.MultilayerPerceptron,7900.81,5.73372e+08,80468.4,8.88411e+08,0.848716
adult,weka.MultilayerPerceptron,8483.51,5.63445e+08,85558.8,9.25425e+08,0.843495
adult,weka.MultilayerPerceptron,3824.03,2.87684e+08,38359.6,8.39059e+08,0.838909
adult,weka.MultilayerPerceptron,8111.6,5.61921e+08,81097.2,8.61509e+08,0.843475
adult,weka.MultilayerPerceptron,8417.61,5.56263e+08,84869.9,9.71092e+08,0.845748
adult,weka.MultilayerPerceptron,5280.34,2.89385e+08,52598.9,7.36589e+08,0.850784
adult,weka.MultilayerPerceptron,8226.05,3.0417e+08,83262.7,7.65525e+08,0.844212
adult,weka.MultilayerPerceptron,8347.64,3.01755e+08,83990.3,8.4007e+08,0.844478
adult,weka.MultilayerPerceptron,5706.95,2.8917e+08,57039.2,7.52061e+08,0.844478
adult,weka.MultilayerPerceptron,4066.35,2.95317e+08,40843.4,7.91212e+08,0.838582
adult,weka.MultilayerPerceptron,5741.2,2.93867e+08,57192.1,7.89943e+08,0.839175
adult,weka.MultilayerPerceptron,8518.37,5.87828e+08,86010.9,9.39039e+08,0.835838
adult,weka.MultilayerPerceptron,4079.03,2.88704e+08,41016.7,8.32642e+08,0.834876
adult,weka.MultilayerPerceptron,5050.67,2.90115e+08,50612.9,7.99971e+08,0.837005
adult,weka.MultilayerPerceptron,5046.28,2.90014e+08,50544.3,7.76663e+08,0.836903
adult,weka.MultilayerPerceptron,3651.47,2.90338e+08,36607.9,8.28594e+08,0.836903
adult,weka.MultilayerPerceptron,5747.11,2.96716e+08,57624.9,7.26711e+08,0.838336
adult,weka.MultilayerPerceptron,5611.03,3.2158e+08,56001.2,7.86105e+08,0.838193
adult,weka.MultilayerPerceptron,8057.72,5.64559e+08,81195,8.59965e+08,0.835756
adult,weka.MultilayerPerceptron,6860.01,3.02614e+08,69483.7,8.92574e+08,0.836903
adult,weka.MultilayerPerceptron,5780.23,2.89111e+08,57999.1,7.7726e+08,0.836903
adult,weka.MultilayerPerceptron,8150.94,3.20491e+08,82674.1,8.42544e+08,0.83766
adult,weka.MultilayerPerceptron,8233.99,5.71895e+08,82075.8,9.44685e+08,0.83807
adult,weka.MultilayerPerceptron,8162.58,5.60255e+08,81831.9,8.60172e+08,0.838909
adult,weka.MultilayerPerceptron,7021.34,3.02316e+08,70429.4,7.86732e+08,0.836514
adult,weka.MultilayerPerceptron,8537.12,5.77741e+08,85950.8,9.59402e+08,0.838909
adult,weka.MultilayerPerceptron,10419.4,5.15368e+08,105082,8.97936e+08,0.836718
adult,weka.MultilayerPerceptron,5687.93,2.99814e+08,56766.4,8.28103e+08,0.839196
adult,weka.MultilayerPerceptron,6788.29,3.0071e+08,68830.4,8.88454e+08,0.843454
adult,weka.MultilayerPerceptron,8552.6,5.74331e+08,85108.6,9.07556e+08,0.843454
adult,weka.MultilayerPerceptron,5040.7,2.88412e+08,50317.5,8.0561e+08,0.843454
adult,weka.MultilayerPerceptron,5504.29,2.89305e+08,55247.3,7.78344e+08,0.843454
adult,weka.MultilayerPerceptron,5023.27,2.8979e+08,50259.9,7.99981e+08,0.83807
adult,weka.MultilayerPerceptron,4099,2.87506e+08,40682.6,7.26619e+08,0.840424
adult,weka.MultilayerPerceptron,4227.13,2.99581e+08,42306.4,8.33417e+08,0.837599
adult,weka.MultilayerPerceptron,5640.61,2.89816e+08,56442.2,7.6083e+08,0.845645
adult,weka.MultilayerPerceptron,8450.97,5.60799e+08,84240.6,9.69008e+08,0.846444
adult,weka.MultilayerPerceptron,4926.97,2.88492e+08,49320.9,8.25638e+08,0.837926
adult,weka.MultilayerPerceptron,7007.44,2.99081e+08,70649.6,9.10295e+08,0.840424
adult,weka.MultilayerPerceptron,5704.6,2.89117e+08,57470.9,7.31391e+08,0.840424
adult,weka.MultilayerPerceptron,5007.71,2.91989e+08,50088.4,7.69706e+08,0.840424
adult,weka.MultilayerPerceptron,4917.83,2.90662e+08,49234.6,8.31218e+08,0.840424
adult,weka.MultilayerPerceptron,5707.77,2.89188e+08,56660.4,7.26263e+08,0.840424
adult,weka.MultilayerPerceptron,5043.66,2.96983e+08,50513.8,7.71454e+08,0.849023
adult,weka.MultilayerPerceptron,6848.5,3.02797e+08,69752.6,7.73857e+08,0.832787
adult,weka.MultilayerPerceptron,4832.2,2.88204e+08,48393.4,7.3966e+08,0.845502
adult,weka.MultilayerPerceptron,4273.94,2.88957e+08,42512.3,7.34712e+08,0.851194
adult,weka.MultilayerPerceptron,4348.73,2.99838e+08,43641.6,8.04896e+08,0.843475
adult,weka.MultilayerPerceptron,4814.75,2.95721e+08,48293.9,8.29502e+08,0.843475
adult,weka.MultilayerPerceptron,5052.34,2.89902e+08,50373,8.20393e+08,0.847324
adult,weka.MultilayerPerceptron,8252.17,3.00806e+08,83207.3,8.86084e+08,0.843475
adult,weka.MultilayerPerceptron,5661.61,2.88985e+08,56654.1,8.3122e+08,0.843475
adult,weka.MultilayerPerceptron,5794.19,3.09753e+08,58258.8,7.83628e+08,0.843475
adult,weka.MultilayerPerceptron,5052.81,2.98445e+08,50369.9,7.74674e+08,0.845748
adult,weka.MultilayerPerceptron,5782.95,2.87592e+08,57863.7,8.29934e+08,0.846055
adult,weka.MultilayerPerceptron,8264.23,3.02757e+08,84842,7.90425e+08,0.84198
adult,weka.MultilayerPerceptron,3828,2.87827e+08,38257.7,7.34284e+08,0.845543
adult,weka.MultilayerPerceptron,5659.99,3.03217e+08,56732.5,7.83506e+08,0.838971
adult,weka.MultilayerPerceptron,5027.46,2.89093e+08,50383.6,7.32794e+08,0.846526
adult,weka.MultilayerPerceptron,5043.53,2.90426e+08,50282.4,7.56035e+08,0.845748
adult,weka.MultilayerPerceptron,4092.52,2.88951e+08,40754.1,8.4109e+08,0.845748
adult,weka.MultilayerPerceptron,5596.83,3.08159e+08,55108.2,7.80167e+08,0.846874
adult,weka.MultilayerPerceptron,5655.14,2.93846e+08,56767.4,7.75973e+08,0.848143
adult,weka.MultilayerPerceptron,5631.09,3.0662e+08,56245.3,7.92695e+08,0.846321
adult,weka.MultilayerPerceptron,5040.73,3.00905e+08,50253.7,7.35995e+08,0.845748
adult,weka.MultilayerPerceptron,3772.21,3.0862e+08,37659.8,7.83934e+08,0.845748
adult,weka.MultilayerPerceptron,5048.36,2.89241e+08,50353.5,8.20756e+08,0.845748
adult,weka.MultilayerPerceptron,5749.13,2.90607e+08,57661.8,8.01418e+08,0.847324
adult,weka.MultilayerPerceptron,3914.69,2.90518e+08,39312.3,7.26759e+08,0.850784
adult,weka.MultilayerPerceptron,8491.43,3.02721e+08,86450.4,7.92099e+08,0.850784
adult,weka.MultilayerPerceptron,5729.61,2.89108e+08,57486.4,7.90361e+08,0.850784
